"question","baseline","sentence_window","small_to_big","auto_merging"
"在多分类问题中，对于给定的数据集，我们通常求解N-1个广义特征值及其对应的特征向量。请解释为什么在理论上至多能解出N-1个非零特征值，并阐述在什么情况下，实际上可能只需要求解出少于N-1个特征向量就能很好地区分不同类别的样本。","1","1","1","1"
"在房价预测问题中，根据提供的假设空间和版本空间的概念，请解释以下哪个模型更符合“奥卡姆剃刀”原则，并简述理由。","1","1","1","1"
"在机器学习中，为什么要对模型进行评估和选择？请简述经验误差和泛化误差的区别，并说明哪一种误差是我们更希望模型能够最小化的。","1","1","1","1"
"在给定的文本中，提到了F1分数是查准率和查全率的调和平均。请解释为什么在F1分数的计算中，使用调和平均而不是算术平均，并给出在式(2.11)中，参数β如何影响F1分数，从而使得它可以用来强调查准率或查全率的重要性。","1","1","1","1"
"根据上述提供的上下文信息，请解释多元线性回归中的最小二乘法估计的数学表达式 \\( \\hat{w}^* \\) 是如何通过向量内积的形式来简化的？并使用矩阵微分推导出 \\( \\hat{w}^* \\) 对误差函数 \\( E\\hat{w} \\) 的梯度。","0","1","1","0"
"根据所提供的上下文信息，假设你正在处理一个二项分布参数p的假设检验问题，你如何求解最大事件发生频率Cm，使得错误率α尽可能小？请详细描述求解过程，并说明为何在给定条件下选择C取C+1的策略。","1","1","1","1"
"根据所提供的上下文信息，假设有一个二项分布B(m,p)的试验，其中事件发生次数为X。若给定检验水平α，请解释如何通过解不等式来确定使得假设检验φ达到该水平的整数C，并给出该整数C的物理意义。","1","0","1","0"
"根据所提供的上下文信息，假设有一个新的测试集，其中包含的数据与之前的数据分布有显著差异。请解释在这种情况下，如何根据不同的机器学习算法（如一元线性回归和多项式回归）评估它们的相对优劣，并请用式(1.1)到式(1.5)中的概念来支撑你的解释。","0","1","1","1"
"根据所提供的上下文信息，请解释为什么在与垂线相交的线段中，最先相交的线段对应的阈值被认为是最佳阈值？请详细描述该阈值对应的归一化代价costnorm以及其在ROC曲线上的意义。","1","1","1","1"
"根据提供的上下文信息，假设式(2.41)是关于某个学习算法的期望风险的分解形式。请解释在从步骤3到步骤4的推导过程中，为什么可以利用期望的运算性质将交叉项 \\(ED[2(f(x;D)− \\bar{f}(x))(\\bar{f}(x)−y_D)]\\) 简化为0，并给出数学证明。","0","1","0","0"
"根据提供的上下文信息，梯度下降法和牛顿法在迭代求解算法上有何不同？请解释它们在选取下一个迭代点（xt+1）的策略上的区别。","1","1","1","1"
"根据提供的上下文信息，请推导出式(6.70)的分母部分的表达式，并解释其物理意义。","0","0","0","0"
"根据给定的上下文信息，假设噪声的期望为0，请证明式子 ED2f(x;D)−¯f(x)·(yD−¯f(x)) 等于0，并解释每一步的推导原理。","1","1","1","1"
"根据给定的上下文信息，假设有一个数据集D，包含正例和反例，且已知的代价cost+−为4，cost−+为1。如果数据集D中正例的比例是20%（即p=0.2），请计算正例的加权概率P(+)cost，并解释这一结果在实际应用中的意义。","1","1","0","1"
"根据给定的上下文信息，推导出式(5.14)中∆vih的计算表达式，并解释每一项的含义。","1","0","0","0"
"解释8.4.5节中的式(8.25)和8.4.6节中的式(8.26)的区别，并给出一个例子说明它们在实际的机器学习问题中如何应用。","0","1","1","1"
"解释“宏平均”（macro-average）和“微平均”（micro-average）在多类别分类问题中的区别，并基于提供的上下文信息，给出它们各自可能存在的问题。","1","1","1","1"
"解释什么是交叉验证法，并说明为什么它在评估算法性能时比单次留出法更可靠。","1","1","2","1"
"请根据以下原文内容，推导出对数似然函数关于参数β的二阶导数（即海森矩阵Hessian）的表达式，并解释其在机器学习中的应用。","1","1","1","1"
"请根据所提供的上下文信息，推导并解释牛顿法的基本迭代公式。同时，讨论为什么在实际应用中，即便面对凸函数，牛顿法也不能保证求得全局最优解。","1","1","1","1"
"请根据提供的上下文信息，解释“算法”和“模型”的概念，并说明它们在机器学习中的关系。","1","1","1","1"
"请根据提供的上下文信息，解释什么是“泛化”能力，并给出一个具体的例子说明为何泛化能力是衡量机器学习模型好坏的关键。","1","1","1","1"
"请根据给定的式(3.7)的向量化过程，描述如何使用Python中的NumPy库来实现该式的计算，并解释向量化运算在此场景中的优势。","0","1","1","1"
"请解释“argmin”符号的含义，并说明它与“min”符号的区别是什么？","1","1","1","1"
